Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,eng Premier League,23,1990,28,26,2307,25.6,0,5,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,MF,Newcastle Utd,eng Premier League,18,1995,4,0,132,1.5,1,0,1,0,0,1,0,0.68,0.00,0.68,0.68,0.68,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,Milan,it Serie A,27,1986,23,21,1884,20.9,0,6,0,0,0,5,0,0.00,0.29,0.29,0.00,0.29,Matches
4,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,37,1977,11,10,906,10.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Kassim Abdallah\Kassim-Abdallah,km COM,DF,Evian,fr Ligue 1,27,1987,30,29,2581,28.7,0,3,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,Matches
6,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Monaco,fr Ligue 1,24,1989,18,17,1525,16.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
7,Rafidine Abdullah\Rafidine-Abdullah,km COM,MF,Lorient,fr Ligue 1,20,1994,23,18,1522,16.9,0,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches
8,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Newcastle Utd,eng Premier League,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,Lorient,fr Ligue 1,22,1992,2,2,180,2.0,1,0,0,1,1,1,0,0.50,0.00,0.50,0.00,0.00,Matches
10,David Abraham\David-Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,28,1986,14,9,894,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,26,1988,32,32,2878,32.0,3,0,3,0,0,8,1,0.09,0.00,0.09,0.09,0.09,Matches
12,Karim Achahbar\Karim-Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Parma,it Serie A,22,1992,14,12,1119,12.4,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
14,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Sampdoria,it Serie A,22,1992,10,10,713,7.9,1,0,1,0,0,4,1,0.13,0.00,0.13,0.13,0.13,Matches
15,Charlie Adam\Charlie-Adam,sct SCO,MF,Stoke City,eng Premier League,28,1985,29,15,1511,16.8,7,1,6,1,1,5,0,0.42,0.06,0.48,0.36,0.42,Matches
16,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,eng Premier League,30,1984,13,9,813,9.0,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches
17,Jordan Adéoti\Jordan-Adeoti,bj BEN,DFMF,Caen,fr Ligue 1,25,1989,28,18,1746,19.4,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
18,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,12,11,1060,11.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Issam El Adoua\Issam-El-Adoua,ma MAR,DF,Levante,es La Liga,27,1986,4,3,290,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,27,1987,38,38,3392,37.7,0,0,,,,3,1,0.00,0.00,0.00,,,Matches
