Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Fernando Menegazzo\Fernando-Menegazzo,br BRA,MF,Bordeaux,fr Ligue 1,29,1981,35,34,2945,32.7,2,1,2,0,0,7,0,0.06,0.03,0.09,0.06,0.09,Matches
2,Sergio Abad Beyxer\Sergio-Abad-Beyxer,es ESP,MF,Levante,es La Liga,21,1989,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,Milan,it Serie A,23,1986,29,26,2412,26.8,0,1,0,0,0,2,1,0,0.04,0.04,0,0.04,Matches
4,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,33,1977,35,35,3078,34.2,0,0,0,0,0,2,0,0,0,0,0,0,Matches
5,Mohammed Abdellaoue\Mohammed-Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,24,1985,26,26,2086,23.2,10,1,10,0,0,1,0,0.43,0.04,0.47,0.43,0.47,Matches
6,Yacine Abdessadki\Yacine-Abdessadki,ma MAR,MF,Freiburg,de Bundesliga,29,1981,21,20,1753,19.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches
7,Almen Abdi\Almen-Abdi,ch SUI,MF,Udinese,it Serie A,23,1986,19,6,634,7,0,0,0,0,0,5,0,0,0,0,0,0,Matches
8,Mathias Abel\Mathias-Abel,de GER,DF,Kaiserslautern,de Bundesliga,29,1981,19,19,1663,18.5,2,0,2,0,0,4,0,0.11,0,0.11,0.11,0.11,Matches
9,Damià Abella\Damia-Abella,es ESP,DFMF,Osasuna,es La Liga,28,1982,27,22,1934,21.5,0,0,0,0,0,7,1,0,0,0,0,0,Matches
10,Loïc Abenzoar\Loic-Abenzoar,fr FRA,DF,Arles-Avignon,fr Ligue 1,21,1989,12,10,732,8.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches
11,Éric Abidal\Eric-Abidal,fr FRA,DF,Barcelona,es La Liga,30,1979,26,23,2023,22.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches
12,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,18,1992,17,4,518,5.8,1,1,1,0,0,0,0,0.17,0.17,0.35,0.17,0.35,Matches
13,Fabrice Abriel\Fabrice-Abriel,fr FRA,MF,Marseille,fr Ligue 1,31,1979,22,4,592,6.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Santiago Acasiete\Santiago-Acasiete,pe PER,DF,Almería,es La Liga,32,1977,20,17,1598,17.8,0,0,0,0,0,4,0,0,0,0,0,0,Matches
15,Pietro Accardi\Pietro-Accardi,it ITA,DF,Brescia,it Serie A,27,1982,8,6,586,6.5,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
16,Pietro Accardi\Pietro-Accardi,it ITA,DF,Sampdoria,it Serie A,27,1982,9,4,528,5.9,0,0,0,0,0,3,0,0,0,0,0,0,Matches
17,Lautaro Acosta\Lautaro-Acosta,ar ARG,FWMF,Sevilla,es La Liga,22,1988,10,2,283,3.1,0,1,0,0,0,3,0,0,0.32,0.32,0,0.32,Matches
18,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Cagliari,it Serie A,22,1987,37,27,2289,25.4,8,1,8,0,1,1,0,0.31,0.04,0.35,0.31,0.35,Matches
19,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Palermo,it Serie A,18,1992,11,3,434,4.8,0,0,0,0,0,2,0,0,0,0,0,0,Matches
20,Charlie Adam\Charlie-Adam,sct SCO,MF,Blackpool,eng Premier League,24,1985,35,34,3049,33.9,12,8,5,7,8,11,0,0.35,0.24,0.59,0.15,0.38,Matches
21,Antonio Adán\Antonio-Adan,es ESP,GK,Real Madrid,es La Liga,23,1987,3,2,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Manchester City,eng Premier League,26,1984,8,2,244,2.7,1,0,0,1,1,0,0,0.37,0,0.37,0,0,Matches
23,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Real Madrid,es La Liga,26,1984,14,6,744,8.3,5,0,5,0,1,0,0,0.6,0,0.6,0.6,0.6,Matches
24,Adeílson\Adeilson,br BRA,FW,Nice,fr Ligue 1,24,1985,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,René Adler\Rene-Adler,de GER,GK,Leverkusen,de Bundesliga,25,1985,32,32,2880,32,0,0,0,0,0,2,0,0,0,0,0,0,Matches
26,Adriano\Adriano,br BRA,DF,Monaco,fr Ligue 1,28,1982,32,32,2737,30.4,4,1,4,0,0,11,1,0.13,0.03,0.16,0.13,0.16,Matches
27,Adriano\Adriano,br BRA,FW,Roma,it Serie A,28,1982,5,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Adriano\Adriano,br BRA,DFMF,Barcelona,es La Liga,25,1984,14,11,937,10.4,0,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
29,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Valencia,es La Liga,29,1981,29,20,1846,20.5,10,2,10,0,0,6,1,0.49,0.1,0.59,0.49,0.59,Matches
30,Ibrahim Afellay\Ibrahim-Afellay,nl NED,FWMF,Barcelona,es La Liga,24,1986,16,7,669,7.4,1,0,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
31,Michael Agazzi\Michael-Agazzi,it ITA,GK,Cagliari,it Serie A,26,1984,38,38,3383,37.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches
