Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Toni Dovale\Toni-Dovale,es ESP,DFMF,Celta Vigo,es La Liga,23,1990,12,11,994,11.0,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches
2,Zakariya Abarouai\Zakariya-Abarouai,fr FRA,FW,Evian,fr Ligue 1,19,1994,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,Milan,it Serie A,26,1986,19,16,1464,16.3,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches
4,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,36,1977,28,28,2390,26.6,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
5,Kassim Abdallah\Kassim-Abdallah,km COM,DF,Evian,fr Ligue 1,26,1987,11,10,892,9.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Kassim Abdallah\Kassim-Abdallah,km COM,DF,Marseille,fr Ligue 1,26,1987,10,9,814,9.0,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
7,Mohammed Abdellaoue\Mohammed-Abdellaoue,no NOR,FW,Stuttgart,de Bundesliga,27,1985,12,7,655,7.3,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,Matches
8,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Monaco,fr Ligue 1,23,1989,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Toulouse,fr Ligue 1,23,1989,15,15,1323,14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Rafidine Abdullah\Rafidine-Abdullah,km COM,MF,Lorient,fr Ligue 1,19,1994,10,1,221,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Damià Abella\Damia-Abella,es ESP,DFMF,Osasuna,es La Liga,31,1982,34,32,2821,31.3,0,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches
12,Laurent Abergel\Laurent-Abergel,fr FRA,DFMF,Marseille,fr Ligue 1,20,1993,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Éric Abidal\Eric-Abidal,fr FRA,DF,Monaco,fr Ligue 1,33,1979,26,26,2310,25.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,Lorient,fr Ligue 1,21,1992,35,33,2925,32.5,16,7,14,2,2,2,0,0.49,0.22,0.71,0.43,0.65,Matches
15,David Abraham\David-Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,27,1986,20,20,1722,19.1,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
16,Fabrice Abriel\Fabrice-Abriel,fr FRA,MF,Nice,fr Ligue 1,34,1979,25,18,1548,17.2,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
17,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,25,1988,13,11,1084,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Romain Achilli\Romain-Achilli,fr FRA,DFMF,Bastia,fr Ligue 1,20,1993,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Maxwell Acosty\Maxwell-Acosty,gh GHA,FWMF,Chievo,it Serie A,21,1991,7,0,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Bologna,it Serie A,25,1987,19,6,752,8.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Parma,it Serie A,21,1992,27,19,1787,19.9,1,2,1,0,0,7,0,0.05,0.10,0.15,0.05,0.15,Matches
22,Javier Acuña\Javier-Acuna,py PAR,FW,Osasuna,es La Liga,25,1988,16,3,549,6.1,3,0,3,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches
23,Charlie Adam\Charlie-Adam,sct SCO,MF,Stoke City,eng Premier League,27,1985,31,20,1756,19.5,8,4,7,1,1,6,0,0.41,0.21,0.62,0.36,0.56,Matches
24,Antonio Adán\Antonio-Adan,es ESP,GK,Cagliari,it Serie A,26,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,26,1987,17,17,1522,16.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,eng Premier League,29,1984,21,20,1805,20.1,11,4,10,1,2,0,0,0.55,0.20,0.75,0.50,0.70,Matches
27,Orhan Ademi\Orhan-Ademi,ch SUI,FW,Braunschweig,de Bundesliga,21,1991,25,8,895,9.9,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches
28,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,28,1985,30,30,2700,30.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
