Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,33,2970,33.0,4,3,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches
2,Rolando Aarons\Rolando-Aarons,eng ENG,DFMF,Newcastle Utd,eng Premier League,19,1995,10,3,381,4.2,1,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,28,1986,27,27,2248,25.0,1,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
4,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,22,22,1851,20.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Almen Abdi\Almen-Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,32,25,1974,21.9,2,0,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
7,Rafidine Abdullah\Rafidine-Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,12,6,579,6.4,1,0,1,0,0,6,1,0.16,0.00,0.16,0.16,0.16,Matches
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,29,1986,31,28,2547,28.3,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,36,3240,36.0,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
11,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,23,1992,29,22,1888,21.0,2,3,2,0,0,9,0,0.10,0.14,0.24,0.10,0.24,Matches
13,Charlie Adam\Charlie-Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,22,12,1044,11.6,1,1,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,28,1987,36,36,3210,35.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,12,7,619,6.9,1,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
16,Jordan Adéoti\Jordan-Adeoti,bj BEN,MFDF,Caen,fr Ligue 1,26,1989,32,16,1718,19.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,2071,23.0,0,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Udinese,it Serie A,21,1993,28,21,1904,21.2,1,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,28,1987,32,32,2880,32.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
21,Adriano\Adriano,br BRA,DF,Barcelona,es La Liga,30,1984,8,4,433,4.8,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
22,Luiz Adriano\Luiz-Adriano,br BRA,FW,Milan,it Serie A,28,1987,26,12,1194,13.3,4,0,3,1,1,4,0,0.30,0.00,0.30,0.23,0.23,Matches
23,Adryan\Adryan,br BRA,MFFW,Nantes,fr Ligue 1,20,1994,26,19,1423,15.8,3,2,3,0,0,2,1,0.19,0.13,0.32,0.19,0.32,Matches
24,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,34,30,2775,30.8,20,6,17,3,5,9,0,0.65,0.19,0.84,0.55,0.75,Matches
25,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,29,1986,31,24,2102,23.4,2,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
26,Benik Afobe\Benik-Afobe,cd COD,FW,Bournemouth,eng Premier League,22,1993,15,12,930,10.3,4,0,4,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
27,Kossi Agassa\Kossi-Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,11,11,901,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FW,Aston Villa,eng Premier League,28,1986,15,13,1031,11.5,1,2,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
29,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,28,1987,16,14,1166,13.0,13,0,13,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
30,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,27,1988,30,29,2360,26.2,24,2,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
31,Rodrigo Aguirre\Rodrigo-Aguirre,uy URU,FW,Udinese,it Serie A,20,1994,10,3,340,3.8,0,1,0,0,0,1,0,0.00,0.26,0.26,0.00,0.26,Matches
32,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,24,1990,33,30,2661,29.6,4,1,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
33,Ali Ahamada\Ali-Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
34,Stefan Aigner\Stefan-Aigner,de GER,MFFW,Eint Frankfurt,de Bundesliga,27,1987,31,27,2394,26.6,3,3,3,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches
35,Rachid Aït-Atmane\Rachid-Ait-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,22,1993,18,11,1058,11.8,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
36,Albian Ajeti\Albian-Ajeti,ch SUI,FW,Augsburg,de Bundesliga,18,1997,1,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Arlind Ajeti\Arlind-Ajeti,al ALB,DF,Frosinone,it Serie A,21,1993,16,15,1218,13.5,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
38,Nathan Aké\Nathan-Ake,nl NED,DF,Watford,eng Premier League,20,1995,24,20,1875,20.8,1,0,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches
39,Ager Aketxe\Ager-Aketxe,es ESP,MF,Athletic Club,es La Liga,21,1993,3,2,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Toulouse,fr Ligue 1,22,1992,33,29,2555,28.4,1,4,1,0,0,12,0,0.04,0.14,0.18,0.04,0.18,Matches
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,23,1992,30,27,2492,27.7,2,0,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
42,Fabrizio Alastra\Fabrizio-Alastra,it ITA,GK,Palermo,it Serie A,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,26,1989,31,29,2588,28.8,0,6,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches
44,Raúl Albentosa\Raul-Albentosa,es ESP,DF,Málaga,es La Liga,26,1988,29,27,2557,28.4,2,0,2,0,0,11,0,0.07,0.00,0.07,0.07,0.07,Matches
45,Michelangelo Albertazzi\Michelangelo-Albertazzi,it ITA,DF,Hellas Verona,it Serie A,24,1991,10,9,702,7.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MFFW,La Coruña,es La Liga,22,1992,29,25,2094,23.3,6,7,6,0,0,3,0,0.26,0.30,0.56,0.26,0.56,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,29,1985,36,36,3240,36.0,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
48,Miiko Albornoz\Miiko-Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,24,1990,23,23,2069,23.0,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches
