Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
15,David Abraham\David-Abraham,ar ARG,DF,Getafe,es La Liga,26,1986,9,9,768,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Fabrice Abriel\Fabrice-Abriel,fr FRA,MF,Nice,fr Ligue 1,33,1979,28,19,1789,19.9,1,2,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Matches
17,Mohammed Abu\Mohammed-Abu,gh GHA,FWMF,Lorient,fr Ligue 1,20,1991,7,6,523,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Mohammed Abu\Mohammed-Abu,gh GHA,FWMF,Rayo Vallecano,es La Liga,20,1991,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Milan,it Serie A,24,1988,6,5,473,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Chievo,it Serie A,24,1988,7,5,443,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Bologna,it Serie A,24,1987,6,3,276,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Robert Acquafresca\Robert-Acquafresca,it ITA,FW,Levante,es La Liga,24,1987,13,12,936,10.4,3,0,3,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches
23,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Parma,it Serie A,20,1992,13,4,540,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Charlie Adam\Charlie-Adam,sct SCO,MF,Stoke City,eng Premier League,26,1985,27,22,1758,19.5,3,2,3,0,0,8,1,0.15,0.10,0.26,0.15,0.26,Matches
25,Antonio Adán\Antonio-Adan,es ESP,GK,Real Madrid,es La Liga,25,1987,3,3,186,2.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
26,Emmanuel Adebayor\Emmanuel-Adebayor,tg TOG,FW,Tottenham,eng Premier League,28,1984,25,18,1598,17.8,5,1,5,0,0,3,1,0.28,0.06,0.34,0.28,0.34,Matches
27,René Adler\Rene-Adler,de GER,GK,Hamburger SV,de Bundesliga,27,1985,32,32,2880,32.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Youssef Adnane\Youssef-Adnane,fr FRA,FW,Evian,fr Ligue 1,27,1985,18,7,716,8.0,2,0,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
29,Adrián\Adrian,es ESP,GK,Betis,es La Liga,25,1987,32,31,2869,31.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Adriano\Adriano,br BRA,DFMF,Barcelona,es La Liga,27,1984,23,18,1428,15.9,5,1,5,0,0,3,0,0.32,0.06,0.38,0.32,0.38,Matches
31,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,31,1981,36,33,2547,28.3,14,6,13,1,2,12,1,0.49,0.21,0.71,0.46,0.67,Matches
32,Luis Advíncula\Luis-Advincula,pe PER,DFMF,Hoffenheim,de Bundesliga,22,1990,2,1,75,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Ibrahim Afellay\Ibrahim-Afellay,nl NED,FWMF,Schalke 04,de Bundesliga,26,1986,10,8,624,6.9,2,0,2,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches
34,Kossi Agassa\Kossi-Agassa,tg TOG,GK,Reims,fr Ligue 1,34,1978,33,33,2925,32.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Michael Agazzi\Michael-Agazzi,it ITA,GK,Cagliari,it Serie A,28,1984,35,35,3099,34.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
36,Gabby Agbonlahor\Gabby-Agbonlahor,eng ENG,FWMF,Aston Villa,eng Premier League,25,1986,28,24,2187,24.3,9,3,9,0,0,4,0,0.37,0.12,0.49,0.37,0.49,Matches
37,Daniel Agger\Daniel-Agger,dk DEN,DF,Liverpool,eng Premier League,27,1984,35,35,3098,34.4,3,0,3,0,0,3,1,0.09,0.00,0.09,0.09,0.09,Matches
38,Imanol Agirretxe\Imanol-Agirretxe,es ESP,FW,Real Sociedad,es La Liga,25,1987,34,22,2060,22.9,13,6,13,0,0,2,0,0.57,0.26,0.83,0.57,0.83,Matches
39,Federico Agliardi\Federico-Agliardi,it ITA,GK,Bologna,it Serie A,29,1983,22,20,1898,21.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Salvador Agra\Salvador-Agra,pt POR,FWMF,Siena,it Serie A,20,1991,8,3,309,3.4,0,2,0,0,0,0,0,0.00,0.58,0.58,0.00,0.58,Matches
41,Salvador Agra\Salvador-Agra,pt POR,FWMF,Betis,es La Liga,20,1991,10,7,506,5.6,1,0,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches
42,Tarsicio Aguado\Tarsicio-Aguado,es ESP,MF,Zaragoza,es La Liga,17,1994,1,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,24,1988,30,22,1941,21.6,12,2,10,2,2,2,0,0.56,0.09,0.65,0.46,0.56,Matches
44,Abel Aguilar\Abel-Aguilar,co COL,MF,La Coruña,es La Liga,27,1985,28,27,2411,26.8,3,3,3,0,0,13,1,0.11,0.11,0.22,0.11,0.22,Matches
45,Kemy Agustien\Kemy-Agustien,cw CUW,DFMF,Swansea City,eng Premier League,25,1986,18,4,578,6.4,0,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
46,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,21,1990,25,14,1535,17.1,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
47,Ali Ahamada\Ali-Ahamada,km COM,GK,Toulouse,fr Ligue 1,20,1991,36,35,3154,35.0,1,0,1,0,0,1,1,0.03,0.00,0.03,0.03,0.03,Matches
48,Karim El Ahmadi\Karim-El-Ahmadi,ma MAR,MF,Aston Villa,eng Premier League,27,1985,20,12,1176,13.1,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
49,Said Ahmed Said\Said-Ahmed-Said,it ITA,FW,Genoa,it Serie A,19,1993,5,0,126,1.4,1,1,1,0,0,0,0,0.71,0.71,1.43,0.71,1.43,Matches
50,Stefan Aigner\Stefan-Aigner,de GER,FWMF,Eint Frankfurt,de Bundesliga,24,1987,34,34,2810,31.2,9,7,9,0,0,3,0,0.29,0.22,0.51,0.29,0.51,Matches
51,Karim Aït-Fana\Karim-Ait-Fana,ma MAR,FWMF,Montpellier,fr Ligue 1,23,1989,8,3,283,3.1,0,2,0,0,0,0,0,0.00,0.64,0.64,0.00,0.64,Matches
52,Nathan Aké\Nathan-Ake,nl NED,DFMF,Chelsea,eng Premier League,17,1995,3,1,92,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,fr Ligue 1,19,1992,19,13,1300,14.4,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
54,Joseph Akpala\Joseph-Akpala,ng NGA,FW,Werder Bremen,de Bundesliga,25,1986,21,3,464,5.2,1,1,1,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches
55,Hope Akpan\Hope-Akpan,ng NGA,MF,Reading,eng Premier League,20,1991,9,6,471,5.2,0,3,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches
56,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,20,1992,23,22,1993,22.1,3,3,1,2,3,0,0,0.14,0.14,0.27,0.05,0.18,Matches
57,Javi Álamo\Javi-Alamo,es ESP,FWMF,Zaragoza,es La Liga,23,1988,7,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Jordi Alba\Jordi-Alba,es ESP,DFMF,Barcelona,es La Liga,23,1989,29,27,2497,27.7,2,5,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25,Matches
59,David Albelda\David-Albelda,es ESP,DFMF,Valencia,es La Liga,34,1977,18,16,1188,13.2,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches
60,Raúl Albiol\Raul-Albiol,es ESP,DF,Real Madrid,es La Liga,26,1985,18,14,1380,15.3,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches
61,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Aston Villa,eng Premier League,22,1989,9,4,429,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Tim Albutat\Tim-Albutat,de GER,MF,Freiburg,de Bundesliga,19,1992,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Paco Alcácer\Paco-Alcacer,es ESP,FW,Getafe,es La Liga,18,1993,20,6,694,7.7,3,0,3,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches
64,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Barcelona,es La Liga,21,1991,27,15,1415,15.7,2,4,2,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches
65,Antolín Alcaraz\Antolin-Alcaraz,py PAR,DF,Wigan Athletic,eng Premier League,30,1982,10,8,691,7.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Pablo Alcolea\Pablo-Alcolea,es ESP,GK,Zaragoza,es La Liga,23,1989,2,1,103,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Danijel Aleksi?\Danijel-Aleksic,rs SRB,FWMF,Saint-Étienne,fr Ligue 1,21,1991,2,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Rennes,fr Ligue 1,23,1989,22,20,1565,17.4,10,6,10,0,0,2,0,0.58,0.35,0.92,0.58,0.92,Matches
69,Alex\Alex,br BRA,DF,Paris S-G,fr Ligue 1,30,1982,24,22,2060,22.9,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
70,Alexis\Alexis,es ESP,DF,Getafe,es La Liga,26,1985,26,25,2246,25.0,3,0,3,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches
71,Alejandro Alfaro\Alejandro-Alfaro,es ESP,FWMF,Mallorca,es La Liga,25,1986,27,13,1302,14.5,6,1,6,0,0,1,0,0.41,0.07,0.48,0.41,0.48,Matches
72,Christian Alfonso\Christian-Alfonso,es ESP,MF,Espanyol,es La Liga,23,1989,13,2,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
73,Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FWMF,Lorient,fr Ligue 1,29,1983,31,31,2647,29.4,15,8,13,2,2,4,0,0.51,0.27,0.78,0.44,0.71,Matches
74,Felipe Aliste Lopes\Felipe-Aliste-Lopes,br BRA,DF,Stuttgart,de Bundesliga,24,1987,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Felipe Aliste Lopes\Felipe-Aliste-Lopes,br BRA,DF,Wolfsburg,de Bundesliga,24,1987,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
76,Allan\Allan,br BRA,DFMF,Udinese,it Serie A,21,1991,36,33,3039,33.8,0,6,0,0,0,6,0,0.00,0.18,0.18,0.00,0.18,Matches
77,Joe Allen\Joe-Allen,wls WAL,MF,Liverpool,eng Premier League,22,1990,27,21,1920,21.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Robert Almer\Robert-Almer,at AUT,GK,Düsseldorf,de Bundesliga,28,1984,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Sergio Almirón\Sergio-Almiron,ar ARG,MF,Catania,it Serie A,31,1980,30,26,1947,21.6,4,0,4,0,0,5,0,0.18,0.00,0.18,0.18,0.18,Matches
80,Paul Alo'o\Paul-Aloo,cm CMR,FW,Nancy,fr Ligue 1,28,1983,23,13,1232,13.7,3,0,3,0,1,1,0,0.22,0.00,0.22,0.22,0.22,Matches
81,Alejandro Alonso\Alejandro-Alonso,ar ARG,MF,Saint-Étienne,fr Ligue 1,30,1982,10,1,198,2.2,0,1,0,0,0,1,1,0.00,0.45,0.45,0.00,0.45,Matches
82,Xabi Alonso\Xabi-Alonso,es ESP,MF,Real Madrid,es La Liga,30,1981,28,22,2149,23.9,0,5,0,0,1,11,0,0.00,0.21,0.21,0.00,0.21,Matches
83,Cristian Álvarez\Cristian-Alvarez,ar ARG,GK,Espanyol,es La Liga,26,1985,18,18,1597,17.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Pablo Álvarez\Pablo-Alvarez,ar ARG,DF,Catania,it Serie A,28,1984,27,26,2194,24.4,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
85,Ricky Álvarez\Ricky-Alvarez,ar ARG,MF,Inter,it Serie A,24,1988,23,12,1182,13.1,5,1,4,1,2,0,0,0.38,0.08,0.46,0.30,0.38,Matches
86,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,25,1986,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Víctor Álvarez\Victor-Alvarez,es ESP,DFMF,Espanyol,es La Liga,19,1993,18,13,1146,12.7,0,2,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16,Matches
88,Dani Alves\Dani-Alves,br BRA,DFMF,Barcelona,es La Liga,29,1983,30,26,2265,25.2,0,6,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches
89,Diego Alves\Diego-Alves,br BRA,GK,Valencia,es La Liga,27,1985,24,24,2160,24.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Nancy,fr Ligue 1,19,1993,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Marseille,fr Ligue 1,27,1985,26,20,1638,18.2,1,3,1,0,0,4,0,0.05,0.16,0.22,0.05,0.22,Matches
92,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,20,1992,27,26,2193,24.4,1,0,1,0,0,12,0,0.04,0.00,0.04,0.04,0.04,Matches
93,Amauri\Amauri,it ITA,FW,Parma,it Serie A,32,1980,33,26,2263,25.1,10,4,9,1,1,3,0,0.40,0.16,0.56,0.36,0.52,Matches
94,Antonio Amaya\Antonio-Amaya,es ESP,DF,Betis,es La Liga,29,1983,28,26,2353,26.1,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches
95,Massimo Ambrosini\Massimo-Ambrosini,it ITA,MF,Milan,it Serie A,35,1977,20,16,1237,13.7,0,1,0,0,0,10,1,0.00,0.07,0.07,0.00,0.07,Matches
96,Marco Amelia\Marco-Amelia,it ITA,GK,Milan,it Serie A,30,1982,11,10,976,10.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Sammy Ameobi\Sammy-Ameobi,eng ENG,FWMF,Newcastle Utd,eng Premier League,20,1992,8,1,236,2.6,0,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
98,Shola Ameobi\Shola-Ameobi,ng NGA,FW,Newcastle Utd,eng Premier League,30,1981,23,4,686,7.6,1,1,1,0,0,5,0,0.13,0.13,0.26,0.13,0.26,Matches
99,Fernando Amorebieta\Fernando-Amorebieta,ve VEN,DF,Athletic Club,es La Liga,27,1985,11,10,886,9.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
100,Álvaro Ampuero\Alvaro-Ampuero,pe PER,DFMF,Parma,it Serie A,19,1992,5,4,298,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
101,Mohamed Amsif\Mohamed-Amsif,ma MAR,GK,Augsburg,de Bundesliga,23,1989,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Stephan Andersen\Stephan-Andersen,dk DEN,GK,Evian,fr Ligue 1,30,1981,9,8,797,8.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Anderson\Anderson,br BRA,MF,Manchester Utd,eng Premier League,24,1988,17,9,824,9.2,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
104,Benjamin André\Benjamin-Andre,fr FRA,DFMF,Ajaccio,fr Ligue 1,21,1990,27,19,1698,18.9,0,2,0,0,0,5,1,0.00,0.11,0.11,0.00,0.11,Matches
105,Leon Andreasen\Leon-Andreasen,dk DEN,DFMF,Hannover 96,de Bundesliga,29,1983,5,4,260,2.9,2,0,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,Matches
106,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,26,1986,28,28,2492,27.7,2,0,2,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
107,Mariano Andújar\Mariano-Andujar,ar ARG,GK,Catania,it Serie A,29,1983,34,34,3060,34.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
108,Nicolas Anelka\Nicolas-Anelka,fr FRA,FW,Juventus,it Serie A,33,1979,2,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Juan Ángel Albín\Juan-Angel-Albin,uy URU,FWMF,Espanyol,es La Liga,26,1986,7,2,225,2.5,1,0,1,0,0,2,1,0.40,0.00,0.40,0.40,0.40,Matches
110,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Getafe,es La Liga,28,1984,32,32,2801,31.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
111,José Ángel\Jose-Angel,es ESP,DF,Real Sociedad,es La Liga,22,1989,11,2,248,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Gabriele Angella\Gabriele-Angella,it ITA,DF,Udinese,it Serie A,23,1989,14,11,1073,11.9,4,0,4,0,0,4,0,0.34,0.00,0.34,0.34,0.34,Matches
113,Ângelo\Angelo,br BRA,DFMF,Siena,it Serie A,31,1981,28,27,2189,24.3,1,3,1,0,0,4,0,0.04,0.12,0.16,0.04,0.16,Matches
114,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Valenciennes,fr Ligue 1,25,1986,24,23,2109,23.4,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches
115,Aldo Angoula\Aldo-Angoula,fr FRA,DF,Evian,fr Ligue 1,31,1981,22,18,1686,18.7,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches
116,Gaël Angoula\Gael-Angoula,fr FRA,DFMF,Bastia,fr Ligue 1,30,1982,18,15,1307,14.5,0,1,0,0,0,6,1,0.00,0.07,0.07,0.00,0.07,Matches
117,Brayan Angulo\Brayan-Angulo,co COL,DFMF,Granada,es La Liga,22,1989,15,4,582,6.5,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
118,Victor Anichebe\Victor-Anichebe,ng NGA,FW,Everton,eng Premier League,24,1988,26,19,1712,19.0,6,4,6,0,0,2,0,0.32,0.21,0.53,0.32,0.53,Matches
119,Kévin Anin\Kevin-Anin,fr FRA,MF,Nice,fr Ligue 1,26,1986,13,10,911,10.1,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
120,Vurnon Anita\Vurnon-Anita,cw CUW,DFMF,Newcastle Utd,eng Premier League,23,1989,25,17,1733,19.3,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
121,Anthony Annan\Anthony-Annan,gh GHA,MF,Osasuna,es La Liga,26,1986,6,5,382,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Ion Ansotegi\Ion-Ansotegi,es ESP,DF,Real Sociedad,es La Liga,30,1982,7,4,371,4.1,0,1,0,0,0,4,0,0.00,0.24,0.24,0.00,0.24,Matches
123,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,Catania,it Serie A,27,1984,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Genoa,it Serie A,25,1987,33,32,2812,31.2,1,5,1,0,0,7,0,0.03,0.16,0.19,0.03,0.19,Matches
125,Luca Antonini\Luca-Antonini,it ITA,DFMF,Milan,it Serie A,29,1982,6,5,422,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
126,José Antonio Reyes\Jose-Antonio-Reyes,es ESP,MF,Sevilla,es La Liga,28,1983,26,20,1646,18.3,4,6,4,0,0,2,1,0.22,0.33,0.55,0.22,0.55,Matches
127,Juan Antonio\Juan-Antonio,ar ARG,FWMF,Sampdoria,it Serie A,24,1988,2,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Marcos Antônio\Marcos-Antonio,br BRA,DF,Nürnberg,de Bundesliga,29,1983,1,1,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Mikael Antonsson\Mikael-Antonsson,se SWE,DF,Bologna,it Serie A,31,1981,31,31,2731,30.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Málaga,es La Liga,25,1987,11,10,945,10.5,1,1,1,0,0,0,0,0.10,0.10,0.19,0.10,0.19,Matches
131,Dennis Aogo\Dennis-Aogo,de GER,DFMF,Hamburger SV,de Bundesliga,25,1987,27,22,1956,21.7,2,4,2,0,0,2,0,0.09,0.18,0.28,0.09,0.28,Matches
132,Dudu Aouate\Dudu-Aouate,il ISR,GK,Mallorca,es La Liga,34,1977,35,35,3121,34.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Onyekachi Apam\Onyekachi-Apam,ng NGA,DF,Rennes,fr Ligue 1,25,1986,11,8,748,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Apoño\Apono,es ESP,MF,Zaragoza,es La Liga,28,1984,32,29,2553,28.4,9,3,2,7,7,10,0,0.32,0.11,0.42,0.07,0.18,Matches
135,Fabrice Apruzesse\Fabrice-Apruzesse,fr FRA,FW,Marseille,fr Ligue 1,27,1985,1,0,18,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Alberto Aquilani\Alberto-Aquilani,it ITA,MF,Fiorentina,it Serie A,28,1984,25,20,1662,18.5,7,6,7,0,1,6,1,0.38,0.32,0.70,0.38,0.70,Matches
137,Dani Aquino\Dani-Aquino,es ESP,FWMF,Atlético Madrid,es La Liga,22,1990,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Youssef El-Arabi\Youssef-El-Arabi,ma MAR,FW,Granada,es La Liga,25,1987,31,23,1982,22.0,8,1,7,1,1,4,0,0.36,0.05,0.41,0.32,0.36,Matches
139,Manuel Arana\Manuel-Arana,es ESP,MF,Rayo Vallecano,es La Liga,27,1984,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
140,Carlos Aranda\Carlos-Aranda,es ESP,FW,Granada,es La Liga,32,1980,17,9,869,9.7,1,1,1,0,0,4,0,0.10,0.10,0.21,0.10,0.21,Matches
141,Carlos Aranda\Carlos-Aranda,es ESP,FW,Zaragoza,es La Liga,32,1980,11,2,422,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Juan Arango\Juan-Arango,ve VEN,MF,M'Gladbach,de Bundesliga,32,1980,31,31,2720,30.2,5,5,5,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches
