Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Toni Dovale\Toni-Dovale,es ESP,DFMF,Celta Vigo,es La Liga,22,1990,14,0,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Ignazio Abate\Ignazio-Abate,it ITA,DFMF,Milan,it Serie A,25,1986,27,25,2291,25.5,0,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
3,Christian Abbiati\Christian-Abbiati,it ITA,GK,Milan,it Serie A,35,1977,28,28,2444,27.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Elvis Abbruscato\Elvis-Abbruscato,it ITA,FW,Pescara,it Serie A,31,1981,25,11,1148,12.8,2,0,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
5,Kassim Abdallah\Kassim-Abdallah,km COM,DF,Marseille,fr Ligue 1,25,1987,13,11,869,9.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
6,Mohammed Abdellaoue\Mohammed-Abdellaoue,no NOR,FW,Hannover 96,de Bundesliga,26,1985,26,12,1036,11.5,8,1,6,2,2,1,0,0.69,0.09,0.78,0.52,0.61,Matches
7,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Toulouse,fr Ligue 1,22,1989,30,30,2700,30.0,1,2,1,0,0,6,0,0.03,0.07,0.10,0.03,0.10,Matches
8,Pape Abdou Camara\Pape-Abdou-Camara,sn SEN,MF,Valenciennes,fr Ligue 1,20,1991,6,2,216,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Rafidine Abdullah\Rafidine-Abdullah,km COM,MF,Marseille,fr Ligue 1,18,1994,15,3,464,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Damià Abella\Damia-Abella,es ESP,DFMF,Osasuna,es La Liga,30,1982,29,29,2471,27.5,0,1,0,0,0,15,0,0.00,0.04,0.04,0.00,0.04,Matches
11,Mathías Abero\Mathias-Abero,uy URU,DFMF,Bologna,it Serie A,22,1990,10,1,264,2.9,0,1,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,Matches
12,Éric Abidal\Eric-Abidal,fr FRA,DF,Barcelona,es La Liga,32,1979,5,2,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Vincent Aboubakar\Vincent-Aboubakar,cm CMR,FW,Valenciennes,fr Ligue 1,20,1992,28,13,1190,13.2,2,1,2,0,0,0,0,0.15,0.08,0.23,0.15,0.23,Matches
14,David Abraham\David-Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,26,1986,12,12,1023,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
