Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
316,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,31,1987,29,27,2472,27.5,3,0,3,0,0,2,0,0.11,0.00,0.11,0.11,0.11,1.7,1.7,0.8,2.5,0.06,0.03,0.09,0.06,0.09,Matches
317,Fabio Borini\Fabio-Borini,it ITA,FWMF,Milan,it Serie A,27,1991,20,10,1054,11.7,2,2,2,0,0,3,0,0.17,0.17,0.34,0.17,0.34,2.5,2.5,0.5,3.0,0.22,0.04,0.26,0.22,0.26,Matches
318,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,de Bundesliga,22,1995,10,6,616,6.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches
319,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
320,Olivier Boscagli\Olivier-Boscagli,fr FRA,DFMF,Nice,fr Ligue 1,20,1997,14,10,863,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.8,1.1,0.03,0.09,0.12,0.03,0.12,Matches
321,Gabriel Boschilia\Gabriel-Boschilia,br BRA,FWMF,Nantes,fr Ligue 1,22,1996,29,14,1319,14.7,4,4,4,0,0,1,0,0.27,0.27,0.55,0.27,0.55,4.1,4.1,2.5,6.5,0.28,0.17,0.45,0.28,0.45,Matches
322,John Bostock\John-Bostock,tt TRI,MF,Toulouse,fr Ligue 1,26,1992,16,10,984,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.7,0.01,0.05,0.06,0.01,0.06,Matches
323,Denis Bouanga\Denis-Bouanga,ga GAB,FWMF,Nîmes,fr Ligue 1,23,1994,35,29,2633,29.3,8,2,8,0,0,5,0,0.27,0.07,0.34,0.27,0.34,7.3,7.3,2.8,10.1,0.25,0.10,0.35,0.25,0.35,Matches
324,Zacharie Boucher\Zacharie-Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
325,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Betis,es La Liga,28,1990,9,6,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,2.0,0.10,0.24,0.34,0.10,0.34,Matches
326,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MF,Celta Vigo,es La Liga,28,1990,11,8,717,8.0,1,2,1,0,0,2,1,0.13,0.25,0.38,0.13,0.38,1.0,1.0,2.1,3.1,0.13,0.26,0.39,0.13,0.39,Matches
327,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Celta Vigo,es La Liga,24,1993,35,25,2085,23.2,3,3,3,0,0,6,0,0.13,0.13,0.26,0.13,0.26,2.8,2.8,3.8,6.6,0.12,0.16,0.28,0.12,0.28,Matches
328,Nassim Boujellab\Nassim-Boujellab,ma MAR,MF,Schalke 04,de Bundesliga,19,1999,7,4,378,4.2,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.6,0.6,0.4,1.0,0.14,0.08,0.23,0.14,0.23,Matches
329,Arnold Bouka Moutou\Arnold-Bouka-Moutou,cg CGO,DFFW,Dijon,fr Ligue 1,29,1988,3,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
330,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Girona,es La Liga,27,1991,32,32,2861,31.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
331,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,26,1991,32,21,2010,22.3,1,0,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,2.1,2.1,1.7,3.8,0.09,0.08,0.17,0.09,0.17,Matches
332,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,24,1994,34,28,2425,26.9,6,5,4,2,3,5,0,0.22,0.19,0.41,0.15,0.33,5.8,3.6,2.9,6.5,0.21,0.11,0.32,0.13,0.24,Matches
333,Bilal Boutobba\Bilal-Boutobba,fr FRA,MF,Montpellier,fr Ligue 1,19,1998,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.19,0.00,0.19,0.19,0.19,Matches
334,Umut Bozok\Umut-Bozok,tr TUR,FW,Nîmes,fr Ligue 1,21,1996,25,14,1235,13.7,2,3,2,0,1,1,0,0.15,0.22,0.36,0.15,0.36,3.5,2.7,2.1,4.9,0.26,0.16,0.41,0.20,0.36,Matches
335,Filip Bradari?\Filip-Bradaric,hr CRO,MF,Cagliari,it Serie A,26,1992,27,17,1494,16.6,0,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,0.4,0.4,0.8,1.2,0.02,0.05,0.07,0.02,0.07,Matches
336,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,eng Premier League,26,1992,16,6,720,8.0,0,1,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,0.7,0.7,1.2,1.9,0.08,0.15,0.23,0.08,0.23,Matches
337,Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Leganés,es La Liga,27,1991,19,16,1402,15.6,4,5,4,0,0,5,0,0.26,0.32,0.58,0.26,0.58,3.6,3.6,1.9,5.5,0.23,0.12,0.35,0.23,0.35,Matches
338,Julian Brandt\Julian-Brandt,de GER,MFFW,Leverkusen,de Bundesliga,22,1996,33,30,2666,29.6,7,11,7,0,0,0,0,0.24,0.37,0.61,0.24,0.61,7.9,7.9,9.0,16.9,0.27,0.31,0.57,0.27,0.57,Matches
339,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Alavés,es La Liga,26,1992,24,17,1580,17.6,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.4,0.9,0.03,0.02,0.05,0.03,0.05,Matches
340,Pedro Brazão\Pedro-Brazao,pt POR,FW,Nice,fr Ligue 1,15,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.12,0.12,0.00,0.12,Matches
341,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,13,12,1128,12.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
342,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,de Bundesliga,20,1998,25,15,1415,15.7,3,3,3,0,0,2,0,0.19,0.19,0.38,0.19,0.38,2.2,2.2,1.6,3.8,0.14,0.10,0.24,0.14,0.24,Matches
343,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,21,1997,5,2,183,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
344,Joshua Brenet\Joshua-Brenet,nl NED,DFMF,Hoffenheim,de Bundesliga,24,1994,14,10,906,10.1,2,1,2,0,0,0,0,0.20,0.10,0.30,0.20,0.30,1.7,1.7,1.5,3.2,0.17,0.15,0.32,0.17,0.32,Matches
345,Rajko Brežan?i?\Rajko-Brezancic,rs SRB,DF,Huesca,es La Liga,28,1989,1,0,67,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
346,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,23,1994,33,33,2924,32.5,2,2,2,0,0,9,1,0.06,0.06,0.12,0.06,0.12,2.7,2.7,0.6,3.3,0.08,0.02,0.10,0.08,0.10,Matches
347,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,32,1985,35,28,2495,27.7,7,3,6,1,1,1,0,0.25,0.11,0.36,0.22,0.32,7.5,6.7,2.6,9.3,0.27,0.09,0.36,0.24,0.34,Matches
348,Nicolò Brighenti\Nicolo-Brighenti,it ITA,DF,Frosinone,it Serie A,28,1989,11,11,990,11.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.02,0.02,0.05,0.02,0.05,Matches
349,Matteo Brighi\Matteo-Brighi,it ITA,MF,Empoli,it Serie A,37,1981,10,1,231,2.6,1,0,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,0.6,0.6,0.1,0.8,0.25,0.06,0.31,0.25,0.31,Matches
350,Enrico Brignola\Enrico-Brignola,it ITA,FW,Sassuolo,it Serie A,19,1999,7,2,175,1.9,1,0,1,0,0,2,0,0.51,0.00,0.51,0.51,0.51,0.4,0.4,0.1,0.5,0.21,0.03,0.24,0.21,0.24,Matches
351,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,eng Premier League,33,1985,3,2,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
352,David Brooks\David-Brooks,wls WAL,MFFW,Bournemouth,eng Premier League,21,1997,30,29,2261,25.1,7,5,7,0,0,3,0,0.28,0.20,0.48,0.28,0.48,6.2,6.2,4.0,10.2,0.25,0.16,0.41,0.25,0.41,Matches
353,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,1993,29,29,2610,29.0,3,2,3,0,0,7,0,0.10,0.07,0.17,0.10,0.17,3.1,3.1,1.0,4.1,0.11,0.04,0.14,0.11,0.14,Matches
354,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,1988,26,26,2203,24.5,3,5,0,3,3,2,0,0.12,0.20,0.33,0.00,0.20,2.9,0.6,4.4,5.1,0.12,0.18,0.30,0.03,0.21,Matches
355,Marcelo Brozovi?\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,25,1992,32,31,2650,29.4,2,1,2,0,0,11,1,0.07,0.03,0.10,0.07,0.10,0.9,0.9,3.0,4.0,0.03,0.10,0.14,0.03,0.14,Matches
356,Bruma\Bruma,pt POR,MFFW,RB Leipzig,de Bundesliga,23,1994,14,6,553,6.1,1,1,1,0,1,1,0,0.16,0.16,0.33,0.16,0.33,1.3,0.5,1.2,1.8,0.21,0.20,0.41,0.09,0.29,Matches
357,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,1991,9,7,624,6.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
358,Bruno\Bruno,es ESP,DF,Brighton,eng Premier League,37,1980,14,14,1131,12.6,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.3,0.3,0.00,0.02,0.03,0.00,0.03,Matches
359,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Dortmund,de Bundesliga,19,1998,24,16,1265,14.1,2,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.6,3.6,2.9,6.5,0.26,0.20,0.46,0.26,0.46,Matches
360,Bryan\Bryan,es ESP,MFFW,Sevilla,es La Liga,17,2001,11,0,167,1.9,1,1,1,0,0,0,0,0.54,0.54,1.08,0.54,1.08,0.5,0.5,0.5,0.9,0.25,0.25,0.50,0.25,0.50,Matches
361,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,eng Premier League,24,1993,28,27,2345,26.1,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,2.1,2.8,0.03,0.08,0.11,0.03,0.11,Matches
362,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
363,Niko Bungert\Niko-Bungert,de GER,DF,Mainz 05,de Bundesliga,31,1986,7,3,284,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.01,0.10,0.09,0.10,Matches
364,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,29,1989,24,17,1526,17.0,4,0,4,0,0,4,0,0.24,0.00,0.24,0.24,0.24,6.2,6.2,1.1,7.3,0.36,0.07,0.43,0.36,0.43,Matches
365,Burgui\Burgui,es ESP,MFFW,Alavés,es La Liga,24,1993,16,5,555,6.2,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.9,0.9,0.6,1.6,0.15,0.10,0.26,0.15,0.26,Matches
366,Jonathan Burkardt\Jonathan-Burkardt,de GER,FWMF,Mainz 05,de Bundesliga,18,2000,4,4,259,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.5,2.0,0.50,0.19,0.68,0.50,0.68,Matches
367,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32,32,2880,32.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
368,Patrick Burner\Patrick-Burner,mq MTQ,DF,Nice,fr Ligue 1,22,1996,17,15,1352,15.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.01,0.02,0.04,0.01,0.04,Matches
369,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,30,1988,35,30,2715,30.2,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.2,1.5,0.01,0.04,0.05,0.01,0.05,Matches
370,Gaëtan Bussmann\Gaetan-Bussmann,fr FRA,DF,Mainz 05,de Bundesliga,27,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
371,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,26,1992,25,24,2023,22.5,0,1,0,0,0,11,1,0.00,0.04,0.04,0.00,0.04,0.2,0.2,0.6,0.8,0.01,0.03,0.03,0.01,0.03,Matches
372,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36,36,3239,36.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
373,David Button\David-Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
374,Jakub B?aszczykowski\Jakub-Blaszczykowski,pl POL,FW,Wolfsburg,de Bundesliga,32,1985,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
375,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,23,1995,21,20,1632,18.1,2,0,2,0,0,11,2,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,1.2,0.06,0.01,0.07,0.06,0.07,Matches
376,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
377,Rémy Cabella\Remy-Cabella,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,28,1990,34,34,2997,33.3,8,4,7,1,1,5,1,0.24,0.12,0.36,0.21,0.33,8.8,8.0,5.7,13.7,0.26,0.17,0.44,0.24,0.41,Matches
378,Gustavo Cabral\Gustavo-Cabral,ar ARG,DF,Celta Vigo,es La Liga,32,1985,24,21,1897,21.1,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.4,1.7,0.06,0.02,0.08,0.06,0.08,Matches
379,Rafael Cabral\Rafael-Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
380,Leandro Cabrera\Leandro-Cabrera,uy URU,DF,Getafe,es La Liga,27,1991,32,31,2794,31.0,2,0,2,0,0,11,1,0.06,0.00,0.06,0.06,0.06,1.9,1.9,0.4,2.3,0.06,0.01,0.08,0.06,0.08,Matches
381,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Cagliari,it Serie A,31,1986,7,7,580,6.4,0,2,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.1,0.1,0.6,0.7,0.02,0.09,0.11,0.02,0.11,Matches
382,Fabrizio Cacciatore\Fabrizio-Cacciatore,it ITA,DF,Chievo,it Serie A,31,1986,7,5,497,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.00,0.16,0.17,0.00,0.17,Matches
383,Martín Cáceres\Martin-Caceres,uy URU,DF,Juventus,it Serie A,31,1987,9,7,628,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
384,Martín Cáceres\Martin-Caceres,uy URU,DFFW,Lazio,it Serie A,31,1987,4,3,307,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
385,Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,21,1997,29,26,2298,25.5,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04,Matches
386,Mathieu Cafaro\Mathieu-Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,21,1997,34,24,2095,23.3,7,3,7,0,0,5,0,0.30,0.13,0.43,0.30,0.43,3.5,3.5,4.0,7.5,0.15,0.17,0.32,0.15,0.32,Matches
387,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,eng Premier League,32,1985,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
388,Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MFDF,Toulouse,fr Ligue 1,33,1985,23,15,1431,15.9,1,0,1,0,0,8,1,0.06,0.00,0.06,0.06,0.06,0.3,0.3,0.4,0.7,0.02,0.02,0.05,0.02,0.05,Matches
389,Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,29,1988,28,17,1371,15.2,8,2,7,1,1,4,0,0.53,0.13,0.66,0.46,0.59,6.4,5.6,1.6,7.3,0.42,0.11,0.53,0.37,0.48,Matches
390,Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
391,Tom Cairney\Tom-Cairney,sct SCO,MFFW,Fulham,eng Premier League,27,1991,31,24,2194,24.4,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,3.3,4.4,0.04,0.14,0.18,0.04,0.18,Matches
392,Caiuby\Caiuby,br BRA,FWMF,Augsburg,de Bundesliga,30,1988,14,10,1006,11.2,1,1,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2.0,2.0,1.3,3.4,0.18,0.12,0.30,0.18,0.30,Matches
393,Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Bologna,it Serie A,22,1996,18,16,1412,15.7,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.2,0.2,0.3,0.5,0.01,0.02,0.03,0.01,0.03,Matches
394,Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,21,1996,26,22,1950,21.7,1,2,1,0,0,5,0,0.05,0.09,0.14,0.05,0.14,0.5,0.5,2.1,2.6,0.02,0.10,0.12,0.02,0.12,Matches
395,Jordi Calavera\Jordi-Calavera,es ESP,DF,Eibar,es La Liga,22,1995,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
396,Fernando Calero\Fernando-Calero,es ESP,DF,Valladolid,es La Liga,22,1995,36,35,3130,34.8,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02,Matches
397,Duje ?aleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,21,1996,20,17,1547,17.2,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.9,0.05,0.00,0.05,0.05,0.05,Matches
398,Hakan Çalhano?lu\Hakan-Calhanoglu,tr TUR,FWMF,Milan,it Serie A,24,1994,36,34,2884,32.0,3,6,3,0,0,3,0,0.09,0.19,0.28,0.09,0.28,5.5,5.5,5.6,11.1,0.17,0.17,0.35,0.17,0.35,Matches
399,Daniel Caligiuri\Daniel-Caligiuri,it ITA,DF,Schalke 04,de Bundesliga,30,1988,31,31,2756,30.6,7,3,3,4,6,9,0,0.23,0.10,0.33,0.10,0.20,6.2,1.7,4.4,6.1,0.20,0.14,0.35,0.06,0.20,Matches
400,José Callejón\Jose-Callejon,es ESP,MFFW,Napoli,it Serie A,31,1987,34,29,2650,29.4,3,10,3,0,0,1,0,0.10,0.34,0.44,0.10,0.44,5.2,5.2,9.1,14.3,0.18,0.31,0.49,0.18,0.49,Matches
401,Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Alavés,es La Liga,24,1993,34,33,2869,31.9,9,2,7,2,2,6,0,0.28,0.06,0.35,0.22,0.28,7.2,5.7,2.1,7.9,0.23,0.07,0.29,0.18,0.25,Matches
402,Jan-Ingwer Callsen-Bracker\Jan-Ingwer-Callsen-Bracker,de GER,DF,Augsburg,de Bundesliga,33,1984,1,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.73,0.00,1.73,1.73,1.73,Matches
403,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,21,1997,35,19,1784,19.8,6,2,6,0,0,3,0,0.30,0.10,0.40,0.30,0.40,5.1,5.1,1.2,6.2,0.26,0.06,0.32,0.26,0.32,Matches
404,Ignacio Camacho\Ignacio-Camacho,es ESP,MF,Wolfsburg,de Bundesliga,28,1990,6,6,540,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.08,0.09,0.17,0.08,0.17,Matches
405,Juanjo Camacho\Juanjo-Camacho,es ESP,MF,Huesca,es La Liga,37,1980,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.20,0.76,0.96,0.20,0.96,Matches
406,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,eng Premier League,18,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
407,Mahdi Camara\Mahdi-Camara,fr FRA,FW,Saint-Étienne,fr Ligue 1,20,1998,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
408,Souleymane Camara\Souleymane-Camara,sn SEN,FWMF,Montpellier,fr Ligue 1,35,1982,12,0,137,1.5,3,0,3,0,0,0,0,1.97,0.00,1.97,1.97,1.97,1.3,1.3,0.1,1.4,0.86,0.05,0.91,0.86,0.91,Matches
409,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,eng Premier League,24,1994,32,31,2569,28.5,5,4,5,0,0,6,0,0.18,0.14,0.32,0.18,0.32,2.6,2.6,3.3,5.9,0.09,0.12,0.21,0.09,0.21,Matches
410,Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,15,2002,7,4,364,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.05,0.08,0.02,0.08,Matches
411,Sergio Camello\Sergio-Camello,es ESP,FW,Atlético Madrid,es La Liga,17,2001,1,0,45,0.5,1,0,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,0.6,0.6,0.1,0.7,1.15,0.17,1.32,1.15,1.32,Matches
412,José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,25,1993,36,36,3210,35.7,4,9,4,0,0,11,0,0.11,0.25,0.36,0.11,0.36,1.5,1.5,4.0,5.5,0.04,0.11,0.15,0.04,0.15,Matches
413,Joel Campbell\Joel-Campbell,cr CRC,FWMF,Frosinone,it Serie A,26,1992,17,11,891,9.9,0,3,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,0.9,0.9,1.3,2.3,0.09,0.14,0.23,0.09,0.23,Matches
414,Emre Can\Emre-Can,de GER,MF,Juventus,it Serie A,24,1994,29,20,1811,20.1,4,1,3,1,1,7,0,0.20,0.05,0.25,0.15,0.20,3.0,2.2,2.8,5.0,0.15,0.14,0.29,0.11,0.25,Matches
415,Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,27,1991,32,30,2655,29.5,7,2,5,2,2,5,0,0.24,0.07,0.31,0.17,0.24,6.7,5.2,5.8,11.0,0.23,0.20,0.42,0.18,0.37,Matches
416,João Cancelo\Joao-Cancelo,pt POR,DF,Juventus,it Serie A,24,1994,25,22,1968,21.9,1,3,1,0,0,6,0,0.05,0.14,0.18,0.05,0.18,1.4,1.4,3.3,4.7,0.06,0.15,0.22,0.06,0.22,Matches
417,Antonio Candreva\Antonio-Candreva,it ITA,FWMF,Inter,it Serie A,31,1987,18,5,502,5.6,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,1.8,1.8,1.1,2.9,0.33,0.19,0.52,0.33,0.52,Matches
418,Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,26,1992,25,17,1642,18.2,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.03,0.05,0.09,0.03,0.09,Matches
419,Luan Capanni\Luan-Capanni,br BRA,FW,Lazio,it Serie A,18,2000,1,0,9,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.18,0.00,0.18,0.18,0.18,Matches
